Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/14  07:00:00,14300727.026488452,14300727.02648845,11096567.004123446 
 01/14  08:00:00,14067899.15578048,14067899.155780478,8447986.420311137 
 01/14  09:00:00,14300727.026488452,14300727.02648845,10684713.599121152 
 01/14  10:00:00,14067899.15578048,14067899.155780478,9718930.548257392 
 01/14  11:00:00,13206327.026488452,13206327.02648845,11498854.093529489 
 01/14  12:00:00,10776051.046357718,10776051.046357714,9588189.093841764 
 01/14  13:00:00,10953976.155849565,10953976.155849562,9292450.22997198 
 01/14  14:00:00,10784699.15578048,10784699.155780476,8801377.088304202 
 01/14  15:00:00,11017527.026488452,11017527.02648845,11013600.15629355 
 01/14  16:00:00,13520699.15578048,13520699.155780478,10622615.094258586 
 01/14  17:00:00,14930679.120558147,14930679.120558143,11628064.060716378 
 01/14  18:00:00,14547171.555469076,14547171.555469076,11829481.666631516 
 01/14  19:00:00,15012827.296885021,15012827.296885021,15913466.875558654 
 01/14  20:00:00,13995186.02341631,13995186.02341631,18334823.27429637 
 01/14  21:00:00,14503820.60870877,14503820.60870877,18385480.70294069 
 01/14  22:00:00,14328109.751930746,14328109.751930742,15586888.615317904 
 01/14  23:00:00,14903296.395115857,14903296.395115853,17319382.578737219 
 01/14  24:00:00,13908141.689217614,13908141.689217613,17779311.2930527 
 01/15  01:00:00,12950636.269689596,12950636.269689594,20934592.832367556 
 01/15  02:00:00,12795417.689217613,12795417.689217613,19268125.626137955 
 01/15  03:00:00,13293679.318157046,13293679.318157044,20608064.472351184 
 01/15  04:00:00,13142862.144225099,13142862.144225097,18286352.48362792 
 01/15  05:00:00,13658648.657404546,13658648.657404544,20127717.13999797 
 01/15  06:00:00,13224539.256320587,13224539.256320587,19401195.32163196 
 01/15  07:00:00,14848857.497977376,14848857.497977375,21398012.600882446 
 01/15  08:00:00,14413506.265172903,14413506.2651729,19971800.626852268 
