Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 06/18  01:00:00,9193157.415921549,9193157.415921549,0.0 
 06/18  02:00:00,9193157.415921549,9193157.415921549,0.0 
 06/18  03:00:00,9193157.415921549,9193157.415921549,0.0 
 06/18  04:00:00,9193157.415921549,9193157.415921549,0.0 
 06/18  05:00:00,7565300.415921549,7565300.415921549,0.0 
 06/18  06:00:00,6990154.987301969,6990154.987301968,0.0 
 06/18  07:00:00,6737312.194788473,6737312.194788473,0.0 
 06/18  08:00:00,6555245.76269571,6555245.76269571,0.0 
 06/18  09:00:00,6529019.9351675449,6529019.9351675449,0.0 
 06/18  10:00:00,6558267.077137193,6558267.077137192,0.0 
 06/18  11:00:00,6559032.84345875,6559032.84345875,0.0 
 06/18  12:00:00,6601726.307387743,6601726.307387743,0.0 
 06/18  13:00:00,6481339.341650372,6481339.341650371,0.0 
 06/18  14:00:00,6548671.025421014,6548671.025421013,0.0 
 06/18  15:00:00,6518381.861549786,6518381.861549786,0.0 
 06/18  16:00:00,6505409.697415645,6505409.697415645,0.0 
 06/18  17:00:00,6523355.288936186,6523355.288936186,0.0 
 06/18  18:00:00,6639742.911719736,6639742.911719736,0.0 
 06/18  19:00:00,6701551.6231461199,6701551.6231461199,0.0 
 06/18  20:00:00,6954482.62959105,6954482.62959105,0.0 
 06/18  21:00:00,10305881.415921547,10305881.415921547,0.0 
